Year,County,CountyCode,Quantity,Price (Ksh),Total Value  (Ksh)
2015,Trans-Nzoia,KE026,3500,400,1400000
2015,Uasin Gishu,KE027,438120,360,157723200
2015,Turkana,KE023,,,    
2015,Embu,KE014,68895,425,29280375
2015,Meru,KE012,83500,425,35487500
2015,Thakara Nithi,KE004,51692,    ,    
2015,Isiolo,KE011,    ,    ,    
2015,Marsabit,KE010,,    ,    
2015,Kilifi,KE003,27900,400,11160000
2015,Kwale,KE002,    ,,    
2015,Mombasa,KE001,1250,480,600000
2015,Taita Taveta,KE006,6833,400,2733192
2015,Vihiga,KE038,70260,330,23185800
2015,Kakamega,KE037,107680,340,36611200
2015,Kitui,KE015,187200,400,74880000
2015,Machakos,KE016,396000,351,138996000
2015,Kajiado,KE034,1584216,350,554475641
2015,Makueni,KE017,153000,350,53550000
2015,Kisumu,KE042,4611,360,1659960
2015,Homabay,KE043,23680,375,8880000
2015,Siaya,KE041,79912,240,19178880
2015,Bungoma,KE039,70707,400,28282800
2015,Laikipia,KE031,18200,350,6370000
2015,Samburu,KE025,    ,,    
2015,Kisii,KE045,5191,400,2076400
2015,Nyamira,KE046,152120,400,60848000
2015,Bomet,KE036,250,300,75000
2015,Narok,KE033,,,    
2015,BARINGO,KE030,4550,350,1592500
2015,Kericho,KE035,10900,360,3924000
2015,Nandi,KE029,18077,380,6869260
2015,Elgeyo marakwet,KE028,261040,400,104415816
2015,Kirinyaga,KE020,202500,300,60750000
2015,Nakuru,KE032,572157,500,286078500
2015,Nyeri,KE019,311630,380,118419210
2015,Lamu,KE005,    ,,    
2015,Garissa,KE007,,,    
2015,Tana River,KE004,,,    
2015,Migori,KE044,400,,    
2015,Nairobi,KE047,2239620,400,895848000
2015,West Pokot,KE024,588,400,235200
2015,Busia,KE040,168416,280,47156480
2015,Nyandarua,KE018,16303000,350,5706050000
2015,Kiambu,KE022,2340084,350,819029400
2015,Murang'a,KE021,34020,,    
2015,Wajir,KE008,    ,,    
2015,Mandera,KE009,,,    
2016,Uasin Gishu,KE027,461179,300,138353684
2016,West Pokot,KE024,620,380,235600
2016,Turkana ,KE023,630,,    
2016,Trans Nzoia,KE026,5500,400,2200000
2016,Kitui,KE015,205560,400,82224000
2016,Machakos,KE016,491760,450,221292000
2016,Kajiado,KE034,1754856,350,614199600
2016,Makueni,KE017,159150,350,55702500
2016,Migori,KE044,65150,300,19545000
2016,Siaya,KE041,204340,240,49041600
2016,Kisumu,KE042,24200,300,7260000
2016,Homa Bay,KE043,24780,400,9912000
2016,Taita Taveta,KE006,30600,460,14076000
2016,Mombasa,KE001,4187,400,1674800
2016,Kilifi,KE003,38380,400,15352000
2016,Kwale ,KE002,    ,500,    
2016,Bomet,KE036,1250,,    
2016,Kisii,KE045,8791,350,3076850
2016,Narok,KE033,60000,280,16800000
2016,Nyamira,KE046,152120,,    
2016,Nairobi,KE047,2000000,350,700000000
2016,Nyeri,KE019,217125,400,86850000
2016,Meru ,KE012,188424,400,75369600
2016,Tharaka Nithi,KE013,289798,360,104327280
2016,Isiolo,KE011,    ,,    
2016,Bungoma,KE039,72127,400,28850800
2016,Busia,KE040,899816,280,251948480
2016,Vihiga,KE038,71760,350,25116000
2016,Garissa,KE007,    ,,    
2016,Lamu,KE005,    ,,    
2016,Mandera,KE009,    ,,    
2016,Tana River,KE004,    ,,    
2016,Kirinyaga,KE020,969612,350,339364200
2016,Nakuru ,KE032,450100,450,202545000
2016,Embu,KE014,32240,250,8060000
2016,Kakamega,KE037,93424,300,28027200
2016,Kiambu,KE022,1030001,400,412000400
2016,Samburu ,KE025,    ,,    
2016,Laikipia,KE031,19375,450,8718750
2016,Muranga,KE001,680600,340,231404000
2016,Kericho,KE035,7415,300,2224500
2016,Nandi,KE029,18077,,    
2016,Elgeyomarakwet,KE028,150,350,52500
2016,Baringo,KE030,4730,350,1655500
2016,Nyandarua,KE018,29675,350,10386250
2016,Wajir,KE008,    ,,    
2016,Mandera,KE009,    ,,    
