Year,County,CountyCode,Quantity,Price (Ksh),Total Value  (Ksh)
2015,Trans-Nzoia,KE026,90000,400,36000000
2015,Uasin Gishu,KE027,147550,500,73775000
2015,Turkana,KE023,,200,    
2015,Embu,KE014,523048,375,196143000
2015,Meru,KE012,191600,320,61312000
2015,Thakara Nithi,KE004,1719958,525,902977950
2015,Isiolo,KE011,    ,600,    
2015,Marsabit,KE010,40000,420,16800000
2015,Kilifi,KE003,32464,750,24348000
2015,Kwale,KE002,7066,800,5652800
2015,Mombasa,KE001,    ,,    
2015,Taita Taveta,KE006,22269,400,8907453
2015,Vihiga,KE038,68930,1100,75823000
2015,Kakamega,KE037,328029,500,164014500
2015,Kitui,KE015,4420420,500,2210210000
2015,Machakos,KE016,412830,550,227056500
2015,Kajiado,KE034,286758,600,172054778
2015,Makueni,KE017,1008979,500,504489500
2015,Kisumu,KE042,92983,400,37193200
2015,Homabay,KE043,183820,750,137865000
2015,Siaya,KE041,250300,350,87605000
2015,Bungoma,KE039,157670,300,47301000
2015,Laikipia,KE031,88680,500,44340000
2015,Samburu,KE025,159875,400,63950000
2015,Kisii,KE045,66084,900,59475150
2015,Nyamira,KE046,289555,800,231644000
2015,Bomet,KE036,149938,1000,149938000
2015,Narok,KE033,738396,300,221518800
2015,BARINGO,KE030,588833,500,294416500
2015,Kericho,KE035,1600,600,960000
2015,Nandi,KE029,42764,600,25658400
2015,Elgeyo marakwet,KE028,53119,500,26559500
2015,Kirinyaga,KE020,15800,600,9480000
2015,Nakuru,KE032,219083,600,131449500
2015,Nyeri,KE019,147892,500,73946125
2015,Lamu,KE005,20139,700,14097300
2015,Garissa,KE007,,,    
2015,Tana River,KE004,,,    
2015,Migori,KE044,87128,400,34851200
2015,Nairobi,KE047,29921,500,14960500
2015,West Pokot,KE024,166005,150,24900750
2015,Busia,KE040,72959,400,29183600
2015,Nyandarua,KE018,11449500,380,4350810000
2015,Kiambu,KE022,76653,500,38326500
2015,Murang'a,KE021,93709,500,46854500
2015,Wajir,KE008,3437,470,1615390
2015,Mandera,KE009,10213347,470,4800273090
2016,Uasin Gishu,KE027,155316,700,108721053
2016,West Pokot,KE024,1040000,1000,1040000000
2016,Turkana ,KE023,44492,1000,44492000
2016,Trans Nzoia,KE026,95000,400,38000000
2016,Kitui,KE015,1735530,500,867765000
2016,Machakos,KE016,536351,1000,536351000
2016,Kajiado,KE034,333112,600,199867200
2016,Makueni,KE017,667625,600,400575000
2016,Migori,KE044,60066,500,30033000
2016,Siaya,KE041,512795,350,179478250
2016,Kisumu,KE042,94842,500,47421000
2016,Homa Bay,KE043,173660,600,104196000
2016,Taita Taveta,KE006,11168,600,6700800
2016,Mombasa,KE001,409,600,245400
2016,Kilifi,KE003,19704,600,11822400
2016,Kwale ,KE002,1035,1200,1242000
2016,Bomet,KE036,94912,500,47456000
2016,Kisii,KE045,100745,1000,100745000
2016,Narok,KE033,890450,350,311657500
2016,Nyamira,KE046,343182,1200,411818400
2016,Nairobi,KE047,27720,1000,27720000
2016,Nyeri,KE019,349640,1000,349640000
2016,Meru ,KE012,1054522,600,632713200
2016,Tharaka Nithi,KE013,2912397,500,1456198500
2016,Isiolo,KE011,4000,600,2400000
2016,Bungoma,KE039,158000,1000,158000000
2016,Busia,KE040,292993,600,175795800
2016,Vihiga,KE038,67200,1000,67200000
2016,Garissa,KE007,12850,450,5782500
2016,Lamu,KE005,24000,700,16800000
2016,Mandera,KE009,10213347,450,4596006150
2016,Tana River,KE004,    ,,    
2016,Kirinyaga,KE020,53119,600,31871400
2016,Nakuru ,KE032,315670,600,189402000
2016,Embu,KE014,441315,400,176526000
2016,Kakamega,KE037,367601,600,220560600
2016,Kiambu,KE022,113774,500,56887000
2016,Samburu ,KE025,159875,400,63950000
2016,Laikipia,KE031,553770,600,332262000
2016,Muranga,KE001,93709,800,74967200
2016,Kericho,KE035,61057,1000,61057000
2016,Nandi,KE029,241479,600,144887400
2016,Elgeyomarakwet,KE028,186775,500,93387500
2016,Baringo,KE030,650994,500,325496990
2016,Nyandarua,KE018,263900,380,100282000
2016,Wajir,KE008,3437,450,1546650
2016,Mandera,KE009,40000,450,18000000
